commodity_name,date,min_price,max_price,modal_price
Apple,3/7/2021,63.65,72.33928571,67.46785714
Apple,3/8/2021,72.29238636,79.12170455,75.34125
Apple,3/9/2021,67.55066667,78.108,72.28733333
Apple,3/10/2021,70.46204819,78.93433735,74.64493976
Apple,3/11/2021,67.475,92.384,80.25
Apple,3/12/2021,71.83253012,79.28915663,75.04879518
Apple,3/13/2021,66.03846154,70.82307692,68.21153846
Apple,3/14/2021,70.02105263,72.91315789,71.63947368
Apple,3/15/2021,73.51455696,84.09164557,78.78987342
Apple,3/16/2021,69.22128205,79.88461538,75.49487179
Apple,3/17/2021,76.19011905,83.14178571,79.86452381
Apple,3/18/2021,72.20647059,79.82838235,76.43661765
Apple,3/19/2021,74.21453488,83.12627907,78.33255814
Apple,3/21/2021,70.24285714,77.65714286,73.9
Apple,3/22/2021,73.49885057,80.28885057,76.84885057
Apple,3/23/2021,75.60040541,83.83716216,79.49878378
Apple,3/24/2021,75.0445122,87.25609756,80.50304878
Apple,3/25/2021,74.36073171,82.20731707,77.9704878
Apple,3/26/2021,74.313,80.513125,77.901875
Apple,3/27/2021,76.84393939,87.20227273,81.74242424
Apple,3/28/2021,88.07142857,100.6428571,93.87142857
Apple,3/29/2021,91.8,119,105.9
Apple,3/30/2021,77.73583333,89.67333333,83.13791667
Apple,3/31/2021,75.41358209,84.63432836,79.11910448
Apple,4/1/2021,72.58548387,79.94193548,75.98709677
Apple,4/2/2021,75.212,115.9013333,92.27333333
Apple,4/3/2021,77.76962025,84.03544304,80.45924051
Apple,4/4/2021,74.79666667,76.62333333,75.7
Apple,4/5/2021,76.93081395,85.24011628,80.54011628
Apple,4/6/2021,76.76529412,86.64,81.36882353
Apple,4/7/2021,78.06555556,84.86033333,81.64111111
Apple,4/8/2021,77.96014493,83.73695652,80.95217391
Apple,4/10/2021,82.475,101.175,90.5
Apple,4/11/2021,78.62619048,82.93095238,80.6
Apple,4/12/2021,84.8775,93.9615,92.3065
Apple,4/13/2021,81.87235714,89.60985714,85.31764286
Apple,4/15/2021,79.03257576,88.98651515,82.9469697
Apple,4/16/2021,77.969875,86.413,81.331125
Apple,4/17/2021,82.06179775,89.85067416,86.01382022
Apple,4/18/2021,68.575,94.7,83.71666667
Apple,4/19/2021,81.05415385,92.04769231,86.34076923
Apple,4/20/2021,81.55296296,90.39135802,86.50802469
Apple,4/21/2021,78.14111111,102.4566667,93.02722222
Apple,4/22/2021,80.5548913,86.48586957,83.12391304
